id,username,created_at,text
8.60148E+17,SFBARTalert,4/5/17 15:03,"b'BART recovering: 10 min delay on PITT line in SFO, DALY and MONT dirs due to police activity. Trains are now stopping at ORIN.'"
8.60146E+17,SFBARTalert,4/5/17 14:54,b'Trains are not stopping at ORIN in all dirs due to police activity.'
8.60133E+17,SFBARTalert,4/5/17 14:04,b'Oak airport connector is now back in svc.'
8.60116E+17,SFBARTalert,4/5/17 12:57,b'Oak airport connector is out of svc due to mechanical issues.  ac transit #73 bus provides svc to Oak airport at COLS stn.'
8.59852E+17,SFBARTalert,3/5/17 19:29,b'BART recovering: 10 min delay at SF stns in East Bay dir due to police activity at BALB.'
8.5985E+17,SFBARTalert,3/5/17 19:19,b'BART recovering: 20 min delay at BALB in East Bay dir due to police activity.'
8.59848E+17,SFBARTalert,3/5/17 19:09,b'10 min delay at BALB in East Bay dir due to police activity.'
8.59575E+17,SFBARTalert,3/5/17 1:08,b'10 min delay at DALY in East Bay dir due to equip prob.'
8.5957E+17,SFBARTalert,3/5/17 0:46,b'10 min delay on FRMT line in DUBL and warm springs dirs due to equip prob.'
8.59521E+17,SFBARTalert,2/5/17 21:34,"b'BART recovering: 20 min delay on RICH line in FRMT, RICH and MLBR dirs due to equip prob.'"
8.59518E+17,SFBARTalert,2/5/17 21:19,"b'Major delay on RICH line in FRMT, RICH and MLBR dirs due to equip prob.'"
8.59513E+17,SFBARTalert,2/5/17 21:02,b'Major delay between DELN and RICH in RICH dir due to equip prob.'
8.59511E+17,SFBARTalert,2/5/17 20:54,b'BART recovering: 20 min delay at RICH in warm springs and MLBR dirs due to equip prob.'
8.5951E+17,SFBARTalert,2/5/17 20:50,b'20 min delay at RICH in warm springs and MLBR dirs due to equip prob.'
8.59509E+17,SFBARTalert,2/5/17 20:46,b'10 min delay at RICH in warm springs and MLBR dirs due to equip prob.'
8.59469E+17,SFBARTalert,2/5/17 18:07,"b'BART recovering: 10 min delay at SF stns in SFO, MLBR, DALY and East Bay dirs due to police activity.'"
